Wed Sep 13 2023,Minnesota Lynx,60,Connecticut Sun,90,Box Score,
Wed Sep 13 2023,Chicago Sky,59,Las Vegas Aces,87,Box Score,
Fri Sep 15 2023,Atlanta Dream,82,Dallas Wings,94,Box Score,
Fri Sep 15 2023,Washington Mystics,75,New York Liberty,90,Box Score,
Sun Sep 17 2023,Minnesota Lynx,82,Connecticut Sun,75,Box Score,
Sun Sep 17 2023,Chicago Sky,70,Las Vegas Aces,92,Box Score,
Tue Sep 19 2023,Atlanta Dream,74,Dallas Wings,101,Box Score,
Tue Sep 19 2023,Washington Mystics,85,New York Liberty,90,Box Score,
Wed Sep 20 2023,Connecticut Sun,90,Minnesota Lynx,75,Box Score,
Sun Sep 24 2023,Dallas Wings,83,Las Vegas Aces,97,Box Score,
Sun Sep 24 2023,Connecticut Sun,78,New York Liberty,63,Box Score,
Tue Sep 26 2023,Dallas Wings,84,Las Vegas Aces,91,Box Score,
Tue Sep 26 2023,Connecticut Sun,77,New York Liberty,84,Box Score,
Fri Sep 29 2023,New York Liberty,92,Connecticut Sun,81,Box Score,
Fri Sep 29 2023,Las Vegas Aces,64,Dallas Wings,61,Box Score,
Sun Oct 1 2023,New York Liberty,,Connecticut Sun,,,
Tue Oct 3 2023,Connecticut Sun,,New York Liberty,,,