Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri May 19 2023,Connecticut Sun,70,Indiana Fever,61,Box Score,Commissioner's Cup Game
Fri May 19 2023,Phoenix Mercury,71,Los Angeles Sparks,94,Box Score,Commissioner's Cup Game
Fri May 19 2023,Chicago Sky,77,Minnesota Lynx,66,Box Score,
Fri May 19 2023,New York Liberty,64,Washington Mystics,80,Box Score,Commissioner's Cup Game
Sat May 20 2023,Atlanta Dream,78,Dallas Wings,85,Box Score,
Sat May 20 2023,Las Vegas Aces,105,Seattle Storm,64,Box Score,Commissioner's Cup Game
Sun May 21 2023,Washington Mystics,74,Connecticut Sun,80,Box Score,Commissioner's Cup Game
Sun May 21 2023,Indiana Fever,73,New York Liberty,90,Box Score,Commissioner's Cup Game
Sun May 21 2023,Chicago Sky,75,Phoenix Mercury,69,Box Score,
Tue May 23 2023,Atlanta Dream,83,Minnesota Lynx,77,Box Score,
Tue May 23 2023,Connecticut Sun,88,Washington Mystics,81,Box Score,Commissioner's Cup Game
Thu May 25 2023,Las Vegas Aces,94,Los Angeles Sparks,85,Box Score,Commissioner's Cup Game
Thu May 25 2023,Minnesota Lynx,81,Phoenix Mercury,90,Box Score,Commissioner's Cup Game
Fri May 26 2023,Washington Mystics,71,Chicago Sky,69,Box Score,Commissioner's Cup Game
Fri May 26 2023,Dallas Wings,95,Seattle Storm,91,Box Score,Commissioner's Cup Game
Sat May 27 2023,Los Angeles Sparks,65,Las Vegas Aces,93,Box Score,Commissioner's Cup Game
Sat May 27 2023,Connecticut Sun,65,New York Liberty,81,Box Score,Commissioner's Cup Game
Sun May 28 2023,Indiana Fever,90,Atlanta Dream,87,Box Score,Commissioner's Cup Game
Sun May 28 2023,Dallas Wings,88,Chicago Sky,94,Box Score,
Sun May 28 2023,Minnesota Lynx,73,Las Vegas Aces,94,Box Score,Commissioner's Cup Game
Tue May 30 2023,Chicago Sky,65,Atlanta Dream,83,Box Score,Commissioner's Cup Game
Tue May 30 2023,Indiana Fever,78,Connecticut Sun,81,Box Score,Commissioner's Cup Game
Tue May 30 2023,Minnesota Lynx,89,Dallas Wings,94,Box Score,Commissioner's Cup Game
Tue May 30 2023,New York Liberty,86,Seattle Storm,78,Box Score,
Thu Jun 1 2023,Connecticut Sun,89,Minnesota Lynx,84,Box Score,
Fri Jun 2 2023,Las Vegas Aces,92,Atlanta Dream,87,Box Score,
Fri Jun 2 2023,New York Liberty,77,Chicago Sky,76,Box Score,Commissioner's Cup Game
Fri Jun 2 2023,Los Angeles Sparks,99,Phoenix Mercury,93,Box Score,Commissioner's Cup Game
Fri Jun 2 2023,Dallas Wings,74,Washington Mystics,75,Box Score,
Sat Jun 3 2023,Seattle Storm,85,Los Angeles Sparks,92,Box Score,Commissioner's Cup Game
Sat Jun 3 2023,Minnesota Lynx,80,Washington Mystics,78,Box Score,
Sun Jun 4 2023,Dallas Wings,74,Connecticut Sun,80,Box Score,
Sun Jun 4 2023,Las Vegas Aces,84,Indiana Fever,80,Box Score,
Sun Jun 4 2023,Chicago Sky,86,New York Liberty,82,Box Score,Commissioner's Cup Game
Tue Jun 6 2023,Indiana Fever,103,Chicago Sky,108,Box Score,Commissioner's Cup Game
Tue Jun 6 2023,Las Vegas Aces,90,Connecticut Sun,84,Box Score,
Tue Jun 6 2023,Los Angeles Sparks,63,Seattle Storm,66,Box Score,Commissioner's Cup Game
Wed Jun 7 2023,Phoenix Mercury,79,Dallas Wings,84,Box Score,Commissioner's Cup Game
Thu Jun 8 2023,Las Vegas Aces,77,Connecticut Sun,94,Box Score,
Fri Jun 9 2023,New York Liberty,106,Atlanta Dream,83,Box Score,Commissioner's Cup Game
Fri Jun 9 2023,Phoenix Mercury,77,Dallas Wings,90,Box Score,
Fri Jun 9 2023,Chicago Sky,62,Los Angeles Sparks,77,Box Score,
Fri Jun 9 2023,Indiana Fever,71,Minnesota Lynx,69,Box Score,
Fri Jun 9 2023,Washington Mystics,73,Seattle Storm,66,Box Score,
Sun Jun 11 2023,Connecticut Sun,89,Atlanta Dream,77,Box Score,Commissioner's Cup Game
Sun Jun 11 2023,Phoenix Mercury,85,Indiana Fever,82,Box Score,
Sun Jun 11 2023,Chicago Sky,80,Las Vegas Aces,93,Box Score,
Sun Jun 11 2023,Los Angeles Sparks,86,Minnesota Lynx,91,Box Score,Commissioner's Cup Game
Sun Jun 11 2023,Dallas Wings,93,New York Liberty,102,Box Score,
Sun Jun 11 2023,Washington Mystics,71,Seattle Storm,65,Box Score,
Tue Jun 13 2023,Washington Mystics,66,Indiana Fever,87,Box Score,Commissioner's Cup Game
Tue Jun 13 2023,Atlanta Dream,86,New York Liberty,79,Box Score,Commissioner's Cup Game
Tue Jun 13 2023,Seattle Storm,83,Phoenix Mercury,69,Box Score,Commissioner's Cup Game
Wed Jun 14 2023,Los Angeles Sparks,79,Dallas Wings,61,Box Score,Commissioner's Cup Game
Thu Jun 15 2023,Indiana Fever,92,Chicago Sky,90,Box Score,
Thu Jun 15 2023,Atlanta Dream,92,Connecticut Sun,88,Box Score,Commissioner's Cup Game
Thu Jun 15 2023,Seattle Storm,63,Las Vegas Aces,96,Box Score,Commissioner's Cup Game
Fri Jun 16 2023,Minnesota Lynx,77,Los Angeles Sparks,72,Box Score,Commissioner's Cup Game
Fri Jun 16 2023,Phoenix Mercury,69,Washington Mystics,88,Box Score,
Sat Jun 17 2023,Seattle Storm,109,Dallas Wings,103,Box Score,Commissioner's Cup Game
Sun Jun 18 2023,Atlanta Dream,100,Indiana Fever,94,Box Score,Commissioner's Cup Game
Sun Jun 18 2023,Connecticut Sun,83,Los Angeles Sparks,74,Box Score,
Sun Jun 18 2023,Minnesota Lynx,62,Las Vegas Aces,93,Box Score,
Sun Jun 18 2023,Phoenix Mercury,71,New York Liberty,89,Box Score,
Sun Jun 18 2023,Chicago Sky,69,Washington Mystics,77,Box Score,Commissioner's Cup Game
Tue Jun 20 2023,Atlanta Dream,73,Dallas Wings,85,Box Score,
Tue Jun 20 2023,Minnesota Lynx,67,Los Angeles Sparks,61,Box Score,
Tue Jun 20 2023,Connecticut Sun,85,Seattle Storm,79,Box Score,
Wed Jun 21 2023,Las Vegas Aces,99,Phoenix Mercury,79,Box Score,Commissioner's Cup Game
Thu Jun 22 2023,Washington Mystics,80,Chicago Sky,59,Box Score,
Thu Jun 22 2023,Connecticut Sun,89,Minnesota Lynx,68,Box Score,
Thu Jun 22 2023,Indiana Fever,80,Seattle Storm,68,Box Score,
Fri Jun 23 2023,New York Liberty,110,Atlanta Dream,80,Box Score,
Fri Jun 23 2023,Dallas Wings,74,Los Angeles Sparks,76,Box Score,Commissioner's Cup Game
Sat Jun 24 2023,Indiana Fever,88,Las Vegas Aces,101,Box Score,
Sat Jun 24 2023,Phoenix Mercury,74,Seattle Storm,97,Box Score,Commissioner's Cup Game
Sun Jun 25 2023,Chicago Sky,72,Connecticut Sun,96,Box Score,Commissioner's Cup Game
Sun Jun 25 2023,Dallas Wings,83,Los Angeles Sparks,93,Box Score,
Sun Jun 25 2023,Washington Mystics,88,New York Liberty,89,Box Score,Commissioner's Cup Game
Mon Jun 26 2023,Indiana Fever,80,Las Vegas Aces,88,Box Score,
Tue Jun 27 2023,New York Liberty,89,Connecticut Sun,81,Box Score,Commissioner's Cup Game
Tue Jun 27 2023,Seattle Storm,93,Minnesota Lynx,104,Box Score,Commissioner's Cup Game
Tue Jun 27 2023,Dallas Wings,77,Phoenix Mercury,62,Box Score,Commissioner's Cup Game
Wed Jun 28 2023,Los Angeles Sparks,63,Chicago Sky,80,Box Score,
Wed Jun 28 2023,Atlanta Dream,86,Washington Mystics,109,Box Score,Commissioner's Cup Game
Thu Jun 29 2023,New York Liberty,81,Las Vegas Aces,98,Box Score,
Thu Jun 29 2023,Indiana Fever,63,Phoenix Mercury,85,Box Score,
Thu Jun 29 2023,Minnesota Lynx,99,Seattle Storm,97,Box Score,Commissioner's Cup Game
Fri Jun 30 2023,Washington Mystics,89,Atlanta Dream,94,Box Score,Commissioner's Cup Game
Fri Jun 30 2023,Los Angeles Sparks,78,Chicago Sky,86,Box Score,
Sat Jul 1 2023,Connecticut Sun,84,Las Vegas Aces,102,Box Score,
Sat Jul 1 2023,Minnesota Lynx,86,Phoenix Mercury,76,Box Score,
Sun Jul 2 2023,Los Angeles Sparks,84,Atlanta Dream,112,Box Score,
Sun Jul 2 2023,Washington Mystics,72,Dallas Wings,89,Box Score,
Sun Jul 2 2023,Chicago Sky,89,Indiana Fever,87,Box Score,Commissioner's Cup Game
Sun Jul 2 2023,New York Liberty,81,Seattle Storm,66,Box Score,
Wed Jul 5 2023,Atlanta Dream,90,Los Angeles Sparks,79,Box Score,
Wed Jul 5 2023,Dallas Wings,82,Las Vegas Aces,89,Box Score,Commissioner's Cup Game
Wed Jul 5 2023,Indiana Fever,83,Minnesota Lynx,90,Box Score,
Wed Jul 5 2023,Phoenix Mercury,95,New York Liberty,99,Box Score,
Thu Jul 6 2023,Seattle Storm,73,Connecticut Sun,93,Box Score,
Fri Jul 7 2023,Atlanta Dream,82,Chicago Sky,68,Box Score,Commissioner's Cup Game
Fri Jul 7 2023,Las Vegas Aces,78,Dallas Wings,80,Box Score,Commissioner's Cup Game
Fri Jul 7 2023,Phoenix Mercury,64,Minnesota Lynx,75,Box Score,Commissioner's Cup Game
Fri Jul 7 2023,Indiana Fever,88,Washington Mystics,96,Box Score,Commissioner's Cup Game
Sat Jul 8 2023,Seattle Storm,76,New York Liberty,80,Box Score,
Sun Jul 9 2023,Atlanta Dream,88,Chicago Sky,77,Box Score,
Sun Jul 9 2023,Washington Mystics,84,Connecticut Sun,92,Box Score,
Sun Jul 9 2023,Dallas Wings,77,Indiana Fever,76,Box Score,
Sun Jul 9 2023,Las Vegas Aces,113,Minnesota Lynx,89,Box Score,Commissioner's Cup Game
Sun Jul 9 2023,Los Angeles Sparks,72,Phoenix Mercury,78,Box Score,
Tue Jul 11 2023,Phoenix Mercury,72,Las Vegas Aces,98,Box Score,Commissioner's Cup Game
Tue Jul 11 2023,Seattle Storm,86,Washington Mystics,93,Box Score,
Wed Jul 12 2023,Seattle Storm,75,Atlanta Dream,85,Box Score,
Wed Jul 12 2023,Connecticut Sun,84,Chicago Sky,72,Box Score,Commissioner's Cup Game
Wed Jul 12 2023,New York Liberty,95,Indiana Fever,87,Box Score,Commissioner's Cup Game
Wed Jul 12 2023,Las Vegas Aces,97,Los Angeles Sparks,78,Box Score,
Wed Jul 12 2023,Dallas Wings,107,Minnesota Lynx,67,Box Score,Commissioner's Cup Game
Tue Jul 18 2023,Minnesota Lynx,73,Atlanta Dream,82,Box Score,
Tue Jul 18 2023,Connecticut Sun,66,Phoenix Mercury,72,Box Score,
Wed Jul 19 2023,Dallas Wings,98,New York Liberty,88,Box Score,
Wed Jul 19 2023,Indiana Fever,82,Washington Mystics,76,Box Score,
Thu Jul 20 2023,Atlanta Dream,71,Connecticut Sun,82,Box Score,
Thu Jul 20 2023,Los Angeles Sparks,70,Minnesota Lynx,73,Box Score,
Thu Jul 20 2023,Chicago Sky,62,Phoenix Mercury,80,Box Score,
Thu Jul 20 2023,Las Vegas Aces,79,Seattle Storm,63,Box Score,
Fri Jul 21 2023,New York Liberty,96,Washington Mystics,87,Box Score,
Sat Jul 22 2023,Connecticut Sun,86,Atlanta Dream,78,Box Score,
Sat Jul 22 2023,Los Angeles Sparks,84,Dallas Wings,98,Box Score,
Sat Jul 22 2023,Las Vegas Aces,98,Minnesota Lynx,81,Box Score,
Sat Jul 22 2023,Chicago Sky,90,Seattle Storm,75,Box Score,
Sun Jul 23 2023,Indiana Fever,83,New York Liberty,101,Box Score,
Sun Jul 23 2023,Phoenix Mercury,69,Washington Mystics,84,Box Score,
Tue Jul 25 2023,Phoenix Mercury,65,Atlanta Dream,78,Box Score,
Tue Jul 25 2023,Las Vegas Aces,107,Chicago Sky,95,Box Score,
Tue Jul 25 2023,Connecticut Sun,88,Dallas Wings,83,Box Score,
Tue Jul 25 2023,Indiana Fever,78,Los Angeles Sparks,79,Box Score,
Tue Jul 25 2023,Seattle Storm,82,New York Liberty,86,Box Score,
Wed Jul 26 2023,Washington Mystics,92,Minnesota Lynx,97,Box Score,
Thu Jul 27 2023,Indiana Fever,68,Los Angeles Sparks,81,Box Score,
Thu Jul 27 2023,Atlanta Dream,84,New York Liberty,95,Box Score,
Fri Jul 28 2023,Seattle Storm,83,Chicago Sky,74,Box Score,
Fri Jul 28 2023,Washington Mystics,62,Dallas Wings,90,Box Score,
Fri Jul 28 2023,Minnesota Lynx,88,New York Liberty,83,Box Score,
Sun Jul 30 2023,Washington Mystics,73,Atlanta Dream,80,Box Score,
Sun Jul 30 2023,Phoenix Mercury,85,Chicago Sky,104,Box Score,
Sun Jul 30 2023,Minnesota Lynx,87,Connecticut Sun,83,Box Score,
Sun Jul 30 2023,Seattle Storm,85,Indiana Fever,62,Box Score,
Sun Jul 30 2023,New York Liberty,87,Los Angeles Sparks,79,Box Score,
Sun Jul 30 2023,Dallas Wings,91,Las Vegas Aces,104,Box Score,
Tue Aug 1 2023,Minnesota Lynx,69,Connecticut Sun,79,Box Score,
Tue Aug 1 2023,Phoenix Mercury,71,Indiana Fever,72,Box Score,
Tue Aug 1 2023,New York Liberty,76,Los Angeles Sparks,69,Box Score,
Tue Aug 1 2023,Atlanta Dream,72,Las Vegas Aces,93,Box Score,
Wed Aug 2 2023,Dallas Wings,76,Seattle Storm,65,Box Score,
Thu Aug 3 2023,Atlanta Dream,71,Phoenix Mercury,91,Box Score,
Fri Aug 4 2023,Chicago Sky,104,Dallas Wings,89,Box Score,
Fri Aug 4 2023,Connecticut Sun,88,Indiana Fever,72,Box Score,
Fri Aug 4 2023,New York Liberty,76,Minnesota Lynx,66,Box Score,
Fri Aug 4 2023,Los Angeles Sparks,77,Washington Mystics,79,Box Score,
Sat Aug 5 2023,Seattle Storm,97,Phoenix Mercury,91,Box Score,
Sun Aug 6 2023,Indiana Fever,73,Atlanta Dream,82,Box Score,
Sun Aug 6 2023,Chicago Sky,104,Dallas Wings,96,Box Score,
Sun Aug 6 2023,Las Vegas Aces,61,New York Liberty,99,Box Score,
Sun Aug 6 2023,Los Angeles Sparks,91,Washington Mystics,83,Box Score,
Tue Aug 8 2023,Minnesota Lynx,88,Chicago Sky,79,Box Score,
Tue Aug 8 2023,Las Vegas Aces,104,Dallas Wings,84,Box Score,
Tue Aug 8 2023,Los Angeles Sparks,87,Indiana Fever,80,Box Score,
Tue Aug 8 2023,Washington Mystics,72,Phoenix Mercury,91,Box Score,
Tue Aug 8 2023,Connecticut Sun,81,Seattle Storm,69,Box Score,
Thu Aug 10 2023,Minnesota Lynx,73,Indiana Fever,91,Box Score,
Thu Aug 10 2023,Connecticut Sun,84,Phoenix Mercury,90,Box Score,
Thu Aug 10 2023,Atlanta Dream,67,Seattle Storm,68,Box Score,
Fri Aug 11 2023,Washington Mystics,89,Las Vegas Aces,113,Box Score,
Fri Aug 11 2023,Chicago Sky,73,New York Liberty,89,Box Score,
Sat Aug 12 2023,Connecticut Sun,81,Dallas Wings,91,Box Score,
Sat Aug 12 2023,Atlanta Dream,74,Los Angeles Sparks,85,Box Score,
Sun Aug 13 2023,New York Liberty,100,Indiana Fever,89,Box Score,
Sun Aug 13 2023,Atlanta Dream,65,Las Vegas Aces,86,Box Score,
Sun Aug 13 2023,Phoenix Mercury,71,Seattle Storm,81,Box Score,
Sun Aug 13 2023,Chicago Sky,76,Washington Mystics,83,Box Score,
Thu Aug 17 2023,New York Liberty,75,Las Vegas Aces,88,Box Score,
Fri Aug 18 2023,Chicago Sky,67,Atlanta Dream,78,Box Score,
Fri Aug 18 2023,Dallas Wings,95,Connecticut Sun,75,Box Score,
Fri Aug 18 2023,Washington Mystics,83,Indiana Fever,79,Box Score,
Fri Aug 18 2023,New York Liberty,85,Phoenix Mercury,63,Box Score,
Fri Aug 18 2023,Minnesota Lynx,78,Seattle Storm,70,Box Score,
Sat Aug 19 2023,Los Angeles Sparks,78,Las Vegas Aces,72,Box Score,
Sun Aug 20 2023,Connecticut Sun,79,Chicago Sky,73,Box Score,
Sun Aug 20 2023,Seattle Storm,88,Minnesota Lynx,74,Box Score,
Sun Aug 20 2023,Indiana Fever,83,Phoenix Mercury,73,Box Score,
Sun Aug 20 2023,Dallas Wings,97,Washington Mystics,84,Box Score,
Tue Aug 22 2023,Las Vegas Aces,112,Atlanta Dream,100,Box Score,
Tue Aug 22 2023,Seattle Storm,79,Chicago Sky,102,Box Score,
Tue Aug 22 2023,Dallas Wings,86,Minnesota Lynx,91,Box Score,
Tue Aug 22 2023,Connecticut Sun,68,Washington Mystics,64,Box Score,
Wed Aug 23 2023,Phoenix Mercury,62,Los Angeles Sparks,91,Box Score,
Thu Aug 24 2023,Las Vegas Aces,94,Chicago Sky,87,Box Score,
Thu Aug 24 2023,New York Liberty,95,Connecticut Sun,90,Box Score,
Thu Aug 24 2023,Minnesota Lynx,90,Dallas Wings,81,Box Score,
Thu Aug 24 2023,Seattle Storm,86,Indiana Fever,90,Box Score,
Fri Aug 25 2023,Los Angeles Sparks,83,Atlanta Dream,78,Box Score,
Sat Aug 26 2023,New York Liberty,111,Minnesota Lynx,76,Box Score,
Sat Aug 26 2023,Las Vegas Aces,62,Washington Mystics,78,Box Score,
Sun Aug 27 2023,Los Angeles Sparks,68,Connecticut Sun,83,Box Score,
Sun Aug 27 2023,Atlanta Dream,80,Indiana Fever,83,Box Score,
Sun Aug 27 2023,Dallas Wings,77,Phoenix Mercury,74,Box Score,
Sun Aug 27 2023,Chicago Sky,90,Seattle Storm,85,Box Score,
Mon Aug 28 2023,Las Vegas Aces,85,New York Liberty,94,Box Score,
Tue Aug 29 2023,Phoenix Mercury,76,Atlanta Dream,94,Box Score,
Tue Aug 29 2023,Chicago Sky,76,Los Angeles Sparks,75,Box Score,
Tue Aug 29 2023,Minnesota Lynx,72,Washington Mystics,83,Box Score,
Thu Aug 31 2023,Phoenix Mercury,74,Connecticut Sun,84,Box Score,
Thu Aug 31 2023,Seattle Storm,72,Los Angeles Sparks,61,Box Score,
Thu Aug 31 2023,Washington Mystics,75,Las Vegas Aces,84,Box Score,
Fri Sep 1 2023,Dallas Wings,110,Indiana Fever,100,Box Score,
Fri Sep 1 2023,Atlanta Dream,85,Minnesota Lynx,91,Box Score,
Fri Sep 1 2023,Connecticut Sun,58,New York Liberty,89,Box Score,
Sat Sep 2 2023,Seattle Storm,77,Las Vegas Aces,103,Box Score,
Sun Sep 3 2023,New York Liberty,86,Chicago Sky,69,Box Score,
Sun Sep 3 2023,Indiana Fever,97,Dallas Wings,84,Box Score,
Sun Sep 3 2023,Washington Mystics,64,Los Angeles Sparks,72,Box Score,
Sun Sep 3 2023,Phoenix Mercury,73,Minnesota Lynx,86,Box Score,
Tue Sep 5 2023,Los Angeles Sparks,76,Connecticut Sun,90,Box Score,
Tue Sep 5 2023,New York Liberty,94,Dallas Wings,93,Box Score,
Tue Sep 5 2023,Chicago Sky,96,Indiana Fever,69,Box Score,
Tue Sep 5 2023,Washington Mystics,100,Phoenix Mercury,77,Box Score,
Wed Sep 6 2023,Seattle Storm,68,Atlanta Dream,79,Box Score,
Thu Sep 7 2023,Los Angeles Sparks,89,New York Liberty,96,Box Score,
Fri Sep 8 2023,Minnesota Lynx,87,Chicago Sky,92,Box Score,
Fri Sep 8 2023,Indiana Fever,59,Connecticut Sun,76,Box Score,
Fri Sep 8 2023,Seattle Storm,91,Dallas Wings,106,Box Score,
Fri Sep 8 2023,Las Vegas Aces,94,Phoenix Mercury,73,Box Score,
Fri Sep 8 2023,Atlanta Dream,80,Washington Mystics,75,Box Score,
Sun Sep 10 2023,Dallas Wings,94,Atlanta Dream,77,Box Score,
Sun Sep 10 2023,Chicago Sky,102,Connecticut Sun,91,Box Score,
Sun Sep 10 2023,Minnesota Lynx,72,Indiana Fever,87,Box Score,
Sun Sep 10 2023,Phoenix Mercury,85,Las Vegas Aces,100,Box Score,
Sun Sep 10 2023,Washington Mystics,90,New York Liberty,88,Box Score,
Sun Sep 10 2023,Los Angeles Sparks,91,Seattle Storm,89,Box Score,